Team,Player,Mouse,DPI,X-Axis Sens,Y-Axis Sens,Targeting Sens,Scope Sens,Monitor,Resolution,Mousepad,Keyboard,Headset
Content Creator,Edgey,Logitech G Pro X Superlight Black,800,8.0%,5.0%,26.0%,26.0%,ZOWIE XL2546K,1920x1080,Inked Gaming Custom Mousepad,Wooting 60 HE,beyerdynamic DT 990 Pro
Content Creator,Raider464,Finalmouse Ultralight 2,400,16.0%,16.0%,50.0%,50.0%,GIGABYTE AORUS KD25F,1920x1080,Logitech G840,SteelSeries Apex Pro TKL,
Content Creator,Deyy,Razer Viper Ultimate,800,9.0%,9.0%,25.5%,26.4%,Alienware AW2518H,1920x1080,Razer Gigantus V2,Razer BlackWidow V3 Mini,Razer BlackShark V2
Content Creator,Jarvis,,,,,,,Alienware AW2518H,1920x1080,,,SteelSeries Arctis 5
Content Creator,Tfue,FinalMouse Starlight Pro,400,7.1%,7.1%,50.0%,50.0%,ZOWIE XL2546,1920x1080,Artisan FX Hien Soft,Custom Keyboard,Sennheiser HD800 S
Content Creator,Kinstaar,Razer Viper V2 Pro Black,400,14.0%,12.0%,30.0%,54.0%,Acer Predator XB241H,1920x1080,SkyPAD 3.0,Logitech G Pro X Keyboard,Razer BlackShark V2 Pro Black
Content Creator,aqua,Logitech G Pro X Superlight Black,800,5.8%,5.8%,26.9%,31.0%,Alienware AW2518H,1920x1080,Inked Gaming Custom Mousepad,SteelSeries Apex Pro Mini Black,HyperX Cloud II
Content Creator,Punisher,Logitech G Pro X Superlight Black,800,13.0%,13.0%,35.0%,34%,ZOWIE XL2546,1920x1080,Logitech G640 Original,Logitech G Pro Keyboard,beyerdynamic DT 990 Pro
Content Creator,Stretch,FinalMouse Ultralight Phantom,400,12.6%,12.6%,45.0%,45.0%,Alienware AW2518H,1920x1080,ZOWIE G-SR-SE Deep Blue,SteelSeries Apex Pro TKL,SteelSeries Arctis Pro Wireless
Content Creator,DrLupo,Logitech G Pro X Superlight Black,800,7.0%,7.0%,50.0%,49%,ASUS ROG SWIFT PG279QM,1920x1080,Logitech G PowerPlay,Logitech G Pro Keyboard,Logitech G Pro X Headset
Content Creator,72hrs,ZOWIE S2 Divina Pink,400,13.0%,13.0%,20.0%,20.0%,Alienware AW2518H,1920x1080,Glorious 3XL,SteelSeries Apex Pro TKL,HyperX Cloud Earbuds
Content Creator,Zayt,ZOWIE FK1+-B Divina Pink,800,3.3%,3.3%,60.0%,60.0%,Alienware AW2521H,1920x1080,ZOWIE G-SR-SE Blue,Ducky One 2 Mini,beyerdynamic DT 990 Pro
Content Creator,Ninja,Logitech G Pro Wireless,800,6.5%,6.5%,26.0%,28.0%,Alienware AW2518H,1920x1080,HyperX Fury S Pro,SteelSeries Apex Pro TKL,beyerdynamic DT 1990 PRO
